board_no,board_title,cell_no,logo_label,link_type,target_id_or_query,resolved_detail_name,image
1,インド・東南アジア,1,Zepto,direct_detail,mb-retail-0502,ゼプト / Zepto,assets/images/retail-logo-directory/logo-sheet-01.jpg
1,インド・東南アジア,2,DMart,direct_detail,mb-retail-0503,ディーマート / DMart,assets/images/retail-logo-directory/logo-sheet-01.jpg
1,インド・東南アジア,3,Nature’s Basket,direct_detail,mb-retail-0504,ネイチャーズ・バスケット / Nature’s Basket,assets/images/retail-logo-directory/logo-sheet-01.jpg
1,インド・東南アジア,4,bigbasket,direct_detail,mb-retail-0505,ビッグバスケット / bigbasket,assets/images/retail-logo-directory/logo-sheet-01.jpg
1,インド・東南アジア,5,Blinkit,direct_detail,mb-retail-0507,ブリンキット / Blinkit,assets/images/retail-logo-directory/logo-sheet-01.jpg
1,インド・東南アジア,6,More,direct_detail,mb-retail-0508,モア / More,assets/images/retail-logo-directory/logo-sheet-01.jpg
1,インド・東南アジア,7,Reliance,direct_detail,mb-retail-0509,リライアンス / Reliance Smart Bazaar / Reliance Smart,assets/images/retail-logo-directory/logo-sheet-01.jpg
1,インド・東南アジア,8,Vishal Mega Mart,direct_detail,mb-retail-0510,ヴィシャル・メガマート / Vishal Mega Mart,assets/images/retail-logo-directory/logo-sheet-01.jpg
1,インド・東南アジア,9,ASTRO,direct_detail,mb-retail-0511,アストロ / ASTRO,assets/images/retail-logo-directory/logo-sheet-01.jpg
1,インド・東南アジア,10,Alfamart,direct_detail,mb-retail-0512,アルファマート / Alfamart,assets/images/retail-logo-directory/logo-sheet-01.jpg
1,インド・東南アジア,11,Coco Group,direct_detail,mb-retail-0519,ココ・グループ / Coco Group Bali,assets/images/retail-logo-directory/logo-sheet-01.jpg
1,インド・東南アジア,12,The FoodHall,direct_detail,mb-retail-0521,ザ・フードホール / The FoodHall,assets/images/retail-logo-directory/logo-sheet-01.jpg
1,インド・東南アジア,13,Segari,direct_detail,mb-retail-0522,セガリ / Segari,assets/images/retail-logo-directory/logo-sheet-01.jpg
1,インド・東南アジア,14,DIAMONDfair,direct_detail,mb-retail-0523,ダイヤモンドフェア / DIAMONDfair,assets/images/retail-logo-directory/logo-sheet-01.jpg
1,インド・東南アジア,15,Tip Top,direct_detail,mb-retail-0524,チップトップ / Tip Top,assets/images/retail-logo-directory/logo-sheet-01.jpg
1,インド・東南アジア,16,Transmart,direct_detail,mb-retail-0525,トランスマート / Transmart,assets/images/retail-logo-directory/logo-sheet-01.jpg
2,イギリス・イタリア,1,Farmfoods,direct_detail,mb-retail-0474,ファームフーズ / Farmfoods,assets/images/retail-logo-directory/logo-sheet-02.jpg
2,イギリス・イタリア,2,Filco Supermarkets,direct_detail,mb-retail-0475,フィルコ・スーパーマーケット / Filco Supermarkets,assets/images/retail-logo-directory/logo-sheet-02.jpg
2,イギリス・イタリア,3,Booths,direct_detail,mb-retail-0476,ブース / Booths,assets/images/retail-logo-directory/logo-sheet-02.jpg
2,イギリス・イタリア,4,Planet Organic,direct_detail,mb-retail-0477,プラネット・オーガニック / Planet Organic,assets/images/retail-logo-directory/logo-sheet-02.jpg
2,イギリス・イタリア,5,Heron Foods,direct_detail,mb-retail-0478,ヘロン・フーズ / Heron Foods,assets/images/retail-logo-directory/logo-sheet-02.jpg
2,イギリス・イタリア,6,Bestway Wholesale,direct_detail,mb-retail-0479,ベストウェイ・ホールセール / Bestway Wholesale,assets/images/retail-logo-directory/logo-sheet-02.jpg
2,イギリス・イタリア,7,Home Bargains,direct_detail,mb-retail-0480,ホーム・バーゲンズ / Home Bargains,assets/images/retail-logo-directory/logo-sheet-02.jpg
2,イギリス・イタリア,8,Whole Foods Market UK,direct_detail,mb-retail-0481,ホールフーズ・マーケットUK / Whole Foods Market UK,assets/images/retail-logo-directory/logo-sheet-02.jpg
2,イギリス・イタリア,9,Morrisons,direct_detail,mb-retail-0483,モリソンズ / Morrisons,assets/images/retail-logo-directory/logo-sheet-02.jpg
2,イギリス・イタリア,10,Iper La grande i,direct_detail,mb-retail-0484,イペル・ラ・グランデ・イ / Iper La grande i,assets/images/retail-logo-directory/logo-sheet-02.jpg
2,イギリス・イタリア,11,Il Gigante,direct_detail,mb-retail-0485,イル・ジガンテ / Il Gigante,assets/images/retail-logo-directory/logo-sheet-02.jpg
2,イギリス・イタリア,12,Eataly,direct_detail,mb-retail-0486,イータリー / Eataly,assets/images/retail-logo-directory/logo-sheet-02.jpg
2,イギリス・イタリア,13,Unes,direct_detail,mb-retail-0487,ウネス / Unes,assets/images/retail-logo-directory/logo-sheet-02.jpg
2,イギリス・イタリア,14,MD,direct_detail,mb-retail-0488,エムディー / MD,assets/images/retail-logo-directory/logo-sheet-02.jpg
2,イギリス・イタリア,15,Tigros,direct_detail,mb-retail-0491,ティグロス / Tigros,assets/images/retail-logo-directory/logo-sheet-02.jpg
2,イギリス・イタリア,16,Decò,direct_detail,mb-retail-0492,デコ / Decò,assets/images/retail-logo-directory/logo-sheet-02.jpg
3,アメリカ・イギリス,1,Schnucks,direct_detail,mb-retail-0438,シュナックス / Schnucks,assets/images/retail-logo-directory/logo-sheet-03.jpg
3,アメリカ・イギリス,2,ShopRite,direct_detail,mb-retail-0439,ショップライト / ShopRite・ウェイクファーン / Wakefern,assets/images/retail-logo-directory/logo-sheet-03.jpg
3,アメリカ・イギリス,3,GIANT,direct_detail,mb-retail-0289,ザ・ジャイアント・カンパニー / The Giant Company,assets/images/retail-logo-directory/logo-sheet-03.jpg
3,アメリカ・イギリス,4,Sprouts Farmers Market,direct_detail,mb-retail-0442,スプラウツ・ファーマーズ・マーケット / Sprouts Farmers Market,assets/images/retail-logo-directory/logo-sheet-03.jpg
