board_no,board_id,board_title,row,column,logo_label,link_mode,target,href
1,asia-quick-commerce,インド・東南アジア,1,1,Zepto,direct,mb-retail-0502,retail-sales-v273-db-title-r27.html?focus=mb-retail-0502#mb-retail-0502
1,asia-quick-commerce,インド・東南アジア,1,2,DMart,direct,mb-retail-0503,retail-sales-v273-db-title-r27.html?focus=mb-retail-0503#mb-retail-0503
1,asia-quick-commerce,インド・東南アジア,1,3,Nature’s Basket,direct,mb-retail-0504,retail-sales-v273-db-title-r27.html?focus=mb-retail-0504#mb-retail-0504
1,asia-quick-commerce,インド・東南アジア,1,4,bigbasket,direct,mb-retail-0505,retail-sales-v273-db-title-r27.html?focus=mb-retail-0505#mb-retail-0505
1,asia-quick-commerce,インド・東南アジア,2,1,Blinkit,direct,mb-retail-0507,retail-sales-v273-db-title-r27.html?focus=mb-retail-0507#mb-retail-0507
1,asia-quick-commerce,インド・東南アジア,2,2,More,direct,mb-retail-0508,retail-sales-v273-db-title-r27.html?focus=mb-retail-0508#mb-retail-0508
1,asia-quick-commerce,インド・東南アジア,2,3,Reliance,direct,mb-retail-0509,retail-sales-v273-db-title-r27.html?focus=mb-retail-0509#mb-retail-0509
1,asia-quick-commerce,インド・東南アジア,2,4,Vishal Mega Mart,direct,mb-retail-0510,retail-sales-v273-db-title-r27.html?focus=mb-retail-0510#mb-retail-0510
1,asia-quick-commerce,インド・東南アジア,3,1,ASTRO,direct,mb-retail-0511,retail-sales-v273-db-title-r27.html?focus=mb-retail-0511#mb-retail-0511
1,asia-quick-commerce,インド・東南アジア,3,2,Alfamart,direct,mb-retail-0512,retail-sales-v273-db-title-r27.html?focus=mb-retail-0512#mb-retail-0512
1,asia-quick-commerce,インド・東南アジア,3,3,Coco Group,direct,mb-retail-0519,retail-sales-v273-db-title-r27.html?focus=mb-retail-0519#mb-retail-0519
1,asia-quick-commerce,インド・東南アジア,3,4,The FoodHall,direct,mb-retail-0521,retail-sales-v273-db-title-r27.html?focus=mb-retail-0521#mb-retail-0521
1,asia-quick-commerce,インド・東南アジア,4,1,Segari,direct,mb-retail-0522,retail-sales-v273-db-title-r27.html?focus=mb-retail-0522#mb-retail-0522
1,asia-quick-commerce,インド・東南アジア,4,2,DIAMONDfair,direct,mb-retail-0523,retail-sales-v273-db-title-r27.html?focus=mb-retail-0523#mb-retail-0523
1,asia-quick-commerce,インド・東南アジア,4,3,Tip Top,direct,mb-retail-0524,retail-sales-v273-db-title-r27.html?focus=mb-retail-0524#mb-retail-0524
1,asia-quick-commerce,インド・東南アジア,4,4,Transmart,direct,mb-retail-0525,retail-sales-v273-db-title-r27.html?focus=mb-retail-0525#mb-retail-0525
2,uk-italy-specialists,イギリス・イタリア,1,1,Farmfoods,direct,mb-retail-0474,retail-sales-v273-db-title-r27.html?focus=mb-retail-0474#mb-retail-0474
2,uk-italy-specialists,イギリス・イタリア,1,2,Filco Supermarkets,direct,mb-retail-0475,retail-sales-v273-db-title-r27.html?focus=mb-retail-0475#mb-retail-0475
2,uk-italy-specialists,イギリス・イタリア,1,3,Booths,direct,mb-retail-0476,retail-sales-v273-db-title-r27.html?focus=mb-retail-0476#mb-retail-0476
2,uk-italy-specialists,イギリス・イタリア,1,4,Planet Organic,direct,mb-retail-0477,retail-sales-v273-db-title-r27.html?focus=mb-retail-0477#mb-retail-0477
2,uk-italy-specialists,イギリス・イタリア,2,1,Heron Foods,direct,mb-retail-0478,retail-sales-v273-db-title-r27.html?focus=mb-retail-0478#mb-retail-0478
2,uk-italy-specialists,イギリス・イタリア,2,2,Bestway Wholesale,direct,mb-retail-0479,retail-sales-v273-db-title-r27.html?focus=mb-retail-0479#mb-retail-0479
2,uk-italy-specialists,イギリス・イタリア,2,3,Home Bargains,direct,mb-retail-0480,retail-sales-v273-db-title-r27.html?focus=mb-retail-0480#mb-retail-0480
2,uk-italy-specialists,イギリス・イタリア,2,4,Whole Foods Market UK,direct,mb-retail-0481,retail-sales-v273-db-title-r27.html?focus=mb-retail-0481#mb-retail-0481
2,uk-italy-specialists,イギリス・イタリア,3,1,Morrisons,direct,mb-retail-0483,retail-sales-v273-db-title-r27.html?focus=mb-retail-0483#mb-retail-0483
2,uk-italy-specialists,イギリス・イタリア,3,2,Iper La grande i,direct,mb-retail-0484,retail-sales-v273-db-title-r27.html?focus=mb-retail-0484#mb-retail-0484
2,uk-italy-specialists,イギリス・イタリア,3,3,Il Gigante,direct,mb-retail-0485,retail-sales-v273-db-title-r27.html?focus=mb-retail-0485#mb-retail-0485
2,uk-italy-specialists,イギリス・イタリア,3,4,Eataly,direct,mb-retail-0486,retail-sales-v273-db-title-r27.html?focus=mb-retail-0486#mb-retail-0486
2,uk-italy-specialists,イギリス・イタリア,4,1,Unes,direct,mb-retail-0487,retail-sales-v273-db-title-r27.html?focus=mb-retail-0487#mb-retail-0487
2,uk-italy-specialists,イギリス・イタリア,4,2,MD,direct,mb-retail-0488,retail-sales-v273-db-title-r27.html?focus=mb-retail-0488#mb-retail-0488
2,uk-italy-specialists,イギリス・イタリア,4,3,Tigros,direct,mb-retail-0491,retail-sales-v273-db-title-r27.html?focus=mb-retail-0491#mb-retail-0491
2,uk-italy-specialists,イギリス・イタリア,4,4,Decò,direct,mb-retail-0492,retail-sales-v273-db-title-r27.html?focus=mb-retail-0492#mb-retail-0492
3,us-uk-retailers,アメリカ・イギリス,1,1,Schnucks,direct,mb-retail-0438,retail-sales-v273-db-title-r27.html?focus=mb-retail-0438#mb-retail-0438
3,us-uk-retailers,アメリカ・イギリス,1,2,ShopRite,direct,mb-retail-0439,retail-sales-v273-db-title-r27.html?focus=mb-retail-0439#mb-retail-0439
3,us-uk-retailers,アメリカ・イギリス,1,3,GIANT,direct,mb-retail-0289,retail-sales-v273-db-title-r27.html?focus=mb-retail-0289#mb-retail-0289
3,us-uk-retailers,アメリカ・イギリス,1,4,Sprouts Farmers Market,direct,mb-retail-0442,retail-sales-v273-db-title-r27.html?focus=mb-retail-0442#mb-retail-0442
3,us-uk-retailers,アメリカ・イギリス,2,1,Save A Lot,direct,mb-retail-0443,retail-sales-v273-db-title-r27.html?focus=mb-retail-0443#mb-retail-0443
3,us-uk-retailers,アメリカ・イギリス,2,2,Target,direct,mb-retail-0445,retail-sales-v273-db-title-r27.html?focus=mb-retail-0445#mb-retail-0445
3,us-uk-retailers,アメリカ・イギリス,2,3,Hy-Vee,direct,mb-retail-0446,retail-sales-v273-db-title-r27.html?focus=mb-retail-0446#mb-retail-0446
3,us-uk-retailers,アメリカ・イギリス,2,4,Publix,direct,mb-retail-0447,retail-sales-v273-db-title-r27.html?focus=mb-retail-0447#mb-retail-0447
3,us-uk-retailers,アメリカ・イギリス,3,1,BJ’s Wholesale Club,direct,mb-retail-0448,retail-sales-v273-db-title-r27.html?focus=mb-retail-0448#mb-retail-0448
3,us-uk-retailers,アメリカ・イギリス,3,2,Food Lion,direct,mb-retail-0287,retail-sales-v273-db-title-r27.html?focus=mb-retail-0287#mb-retail-0287
3,us-uk-retailers,アメリカ・イギリス,3,3,Whole Foods Market,direct,mb-retail-0451,retail-sales-v273-db-title-r27.html?focus=mb-retail-0451#mb-retail-0451
3,us-uk-retailers,アメリカ・イギリス,3,4,Amazon Fresh,search,Amazon Fresh,retail-sales-v273-db-title-r27.html?q=Amazon Fresh
3,us-uk-retailers,アメリカ・イギリス,4,1,Waitrose,direct,mb-retail-0464,retail-sales-v273-db-title-r27.html?focus=mb-retail-0464#mb-retail-0464
3,us-uk-retailers,アメリカ・イギリス,4,2,Co-op Food,direct,mb-retail-0466,retail-sales-v273-db-title-r27.html?focus=mb-retail-0466#mb-retail-0466
3,us-uk-retailers,アメリカ・イギリス,4,3,Sainsbury’s,direct,mb-retail-0469,retail-sales-v273-db-title-r27.html?focus=mb-retail-0469#mb-retail-0469
3,us-uk-retailers,アメリカ・イギリス,4,4,REWE,direct,mb-retail-0764,retail-sales-v273-db-title-r27.html?focus=mb-retail-0764#mb-retail-0764
4,global-majors,世界の大手小売,1,1,Carrefour,direct,mb-retail-0111,retail-sales-v273-db-title-r27.html?focus=mb-retail-0111#mb-retail-0111
4,global-majors,世界の大手小売,1,2,Walmart,direct,mb-retail-0061,retail-sales-v273-db-title-r27.html?focus=mb-retail-0061#mb-retail-0061
4,global-majors,世界の大手小売,1,3,Costco,direct,mb-retail-0084,retail-sales-v273-db-title-r27.html?focus=mb-retail-0084#mb-retail-0084
