No,区分,企業名,国・地域,地域,移動先ページ,移動先ID,選定理由,選定スコア
1,海外ご飯製品メーカー,エムシーデリカ・フード・インドネシア / PT MCdelica Food Indonesia,インドネシア,東南アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0138,完成米飯・米飯加工品を確認（おにぎり・寿司・弁当）,101
2,海外ご飯製品メーカー,オットギ / 오뚜기㈜ / OTOKI Corporation,韓国,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0121,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,96
3,海外ご飯製品メーカー,ワン・センター・キッチン / One Centre Kitchen,マレーシア,東南アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0154,完成米飯・米飯加工品を確認（おにぎり・寿司・弁当）,92
4,海外ご飯製品メーカー,カワン・フード / Kawan Food Berhad,マレーシア,東南アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0150,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,89
5,海外ご飯製品メーカー,"ハリム / ㈜하림 / Harim Co., Ltd.（Harim Group）",韓国,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0130,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,89
6,海外ご飯製品メーカー,アワーホーム / OURHOME,韓国,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0120,完成米飯・米飯加工品を確認（おにぎり・寿司・弁当）,88
7,海外ご飯製品メーカー,ノゾリー・フード・インダストリー / Nozoly Food Industry Sdn. Bhd.,マレーシア,東南アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0151,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,86
8,海外ご飯製品メーカー,"ウーファンジャイ / 浙江五芳斋实业股份有限公司 / Zhejiang Wufangzhai Industry Co., Ltd.",中国,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0101,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,84
9,海外ご飯製品メーカー,百斯特 / BESTA,中国,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0106,完成米飯・米飯加工品を確認（おにぎり・寿司・弁当）,84
10,海外ご飯製品メーカー,金品 / King’s Cook,台湾,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0117,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,83
11,海外ご飯製品メーカー,ジョリアント・アールエヌエヌ / Jolliant RNN Corporation,フィリピン,東南アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0146,完成米飯・米飯加工品を確認（おにぎり・寿司・弁当）,81
12,海外ご飯製品メーカー,ピーケー・アグロ・インダストリアル・プロダクツ / PK AGRO-INDUSTRIAL PRODUCTS (M) SDN. BHD.（CP Malaysia）,マレーシア,東南アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0152,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,81
13,海外ご飯製品メーカー,義美食品 / I-MEI Foods,台湾,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0115,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,81
14,海外ご飯製品メーカー,"トンウォンF&B / 동원F&B㈜ / Dongwon F&B Co., Ltd.",韓国,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0128,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,81
15,海外ご飯製品メーカー,プルン・プンニョン / 농업회사법인 푸른풍년 주식회사 / Pureun Pungnyeon,韓国,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0131,完成米飯・米飯加工品を確認（おにぎり・寿司・弁当）,81
16,海外ご飯製品メーカー,"タイ・プラント・ベースド・フード / Thai Plant Based Food Co., Ltd.（COCOCOグループ）",タイ,東南アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0142,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,79
17,海外ご飯製品メーカー,ブラヒムズ / Brahim's・Dewina,マレーシア,東南アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0153,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,78
18,海外ご飯製品メーカー,海通食品集団 / Haitong Food Group,中国,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0105,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,78
19,海外ご飯製品メーカー,モーライス / More Rice・QQRice,台湾,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0108,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,78
20,海外ご飯製品メーカー,ベタグロ / บริษัท เบทาโกร จำกัด (มหาชน) / Betagro Public Company Limited,タイ,東南アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0144,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,77
21,海外ご飯製品メーカー,利口福 / Likoufu Food,中国,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0103,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,75
22,海外ご飯製品メーカー,サジョデリム / 주식회사 사조대림 / SAJO DAERIM Corporation,韓国,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0124,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,75
23,海外ご飯製品メーカー,サイゴン・フード / CÔNG TY CỔ PHẦN SÀI GÒN FOOD / SAI GON FOOD JOINT STOCK COMPANY,ベトナム,東南アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0147,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,73
24,海外ご飯製品メーカー,三全食品 / Sanquan Foods,中国,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0102,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,72
25,海外ご飯製品メーカー,オールゴット / Allgot,韓国,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0122,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,72
26,海外ご飯製品メーカー,"ケー・アンド・ユー・エンタープライズ / K & U Enterprise Co., Ltd.",タイ,東南アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0141,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,71
27,海外ご飯製品メーカー,安心食品服務 / AN-SHIN FOOD SERVICES（製造関連：魔術食品工業 / Magic Food）,台湾,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0111,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,71
28,海外ご飯製品メーカー,チョニル食品 / 천일식품㈜ / CHUNIL FOODS CO.,韓国,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0127,完成米飯・米飯加工品を確認（寿司・冷凍米飯・炒飯）,71
29,海外ご飯製品メーカー,安井食品 / Anjoy Foods Group,中国,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0104,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,70
30,海外ご飯製品メーカー,愛之味 / AGV Products,台湾,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0112,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,70
31,海外ご飯製品メーカー,泰山企業 / Taisun Enterprise,台湾,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0114,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,70
32,海外ご飯製品メーカー,"老協珍股份有限公司 / LAO XIE ZHEN CO., LTD.",台湾,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0116,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,70
33,海外ご飯製品メーカー,大象 / Daesang・Chung Jung One,韓国,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0134,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,70
34,海外ご飯製品メーカー,プルムウォン / 풀무원㈜ / Pulmuone Corporation,韓国・米国,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0136,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,70
35,海外ご飯製品メーカー,"キョクヨー・グローバル・シーフーズ / KYOKUYO GLOBAL SEAFOODS CO., LTD.",タイ,東南アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0140,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,69
36,海外ご飯製品メーカー,"喜生食品股份有限公司 / Si Sheng Food Industry Co., Ltd.",台湾,東アジア,gohan-food-manufacturers-v273-db-title-r27.html,mb-gohan-0110,完成米飯・米飯加工品を確認（おにぎり・寿司・冷凍米飯）,69
